user_id,age,gender,country,state_province,subscription_plan,is_active,monthly_spend,primary_device,household_size,total_sessions,total_watches,total_watch_time,avg_watch_time,avg_completion,avg_user_rating,download_rate,device_diversity,quality_diversity,action_rate_completed,action_rate_paused,action_rate_started,action_rate_stopped,avg_watch_hour,weekend_watch_rate,avg_time_gap_hours,genre_diversity,content_type_diversity,avg_imdb_rating_watched,netflix_original_watch_rate,total_recommendations,total_clicks,avg_recommendation_score,avg_position,recommendation_type_diversity,algorithm_version_diversity,recommendation_ctr,recommendation_ignore_rate,search_count,avg_results_returned,avg_clicked_position,avg_search_duration,typo_rate,filter_usage_rate,review_count,avg_review_rating,verified_watch_rate,avg_helpful_votes,avg_sentiment_score,recommendation_trust_score,content_fatigue_signal
user_00001,43.0,Male,USA,Massachusetts,Basic,1,36.06,Laptop,1.0,12,13,643.2,71.46666666666667,68.38333333333334,3.0,0.38461538461538464,5,3,0.5384615384615384,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,1266.0,9,4,6.946153846153846,0.42857142857142855,3.0,0.0,0.315,11.0,2.0,2.0,0.0,1.0,1.0,50.0,7.0,27.5,0.0,0.0,1.0,4.0,1.0,0.0,0.792,28.975833333333334,1.387595238095238
user_00002,38.0,Male,USA,Texas,Premium+,1,14.59,Desktop,2.0,15,15,713.4,50.957142857142856,57.66923076923077,3.3333333333333335,0.26666666666666666,5,4,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.4,0.0,0.06666666666666667,1093.7142857142858,11,4,5.578571428571428,0.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,0.0,18.099999999999998,0.3333333333333333,0.3333333333333333,4.0,3.5,0.75,3.3333333333333335,0.5375,22.479807692307695,0.6108076923076923
user_00003,32.0,Female,USA,Michigan,Standard,0,11.71,Desktop,3.0,8,9,660.9,73.43333333333334,37.849999999999994,4.0,0.2222222222222222,5,4,0.4444444444444444,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.0,0.3333333333333333,1275.0,6,4,6.988888888888889,0.3333333333333333,6.0,2.0,0.68325,12.0,3.0,2.0,0.3333333333333333,0.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.887,42.7675,1.2881666666666667
user_00004,11.0,Male,USA,Ohio,Standard,1,28.56,Laptop,2.0,14,15,1146.7,88.20769230769231,41.406666666666666,4.333333333333333,0.2,4,4,0.26666666666666666,0.4666666666666667,0.06666666666666667,0.2,0.0,0.3333333333333333,1167.4285714285713,10,4,4.8307692307692305,0.4117647058823529,4.0,0.0,0.589,7.75,3.0,3.0,0.0,1.0,2.0,72.5,0.0,26.549999999999997,0.0,0.0,4.0,2.25,0.75,3.25,0.6175,19.61416666666667,1.7109333333333334
user_00005,21.0,Female,USA,Arizona,Standard,1,9.54,Desktop,6.0,9,10,480.79999999999995,80.13333333333333,56.544444444444444,4.0,0.2,4,3,0.2,0.2,0.3,0.3,0.0,0.2,1608.0,9,4,5.988888888888889,0.2,1.0,0.0,0.473,13.0,1.0,1.0,0.0,1.0,2.0,66.0,10.0,37.7,0.0,0.0,3.0,3.3333333333333335,1.0,4.0,0.5026666666666667,21.676111111111112,1.6163737373737375
user_00006,43.0,Female,Canada,Quebec,Standard,1,0.0,Gaming Console,2.0,11,12,447.8,40.70909090909091,63.583333333333336,2.3333333333333335,0.4166666666666667,5,3,0.25,0.08333333333333333,0.25,0.4166666666666667,0.0,0.3333333333333333,1405.090909090909,10,4,7.06,0.4166666666666667,8.0,0.0,0.6366666666666667,10.5,3.0,4.0,0.0,1.0,1.0,41.0,0.0,17.4,1.0,0.0,1.0,3.0,1.0,2.0,0.506,23.485833333333332,1.4410897435897436
user_00007,63.0,0,USA,Maryland,Premium,1,27.74,Desktop,1.0,12,12,662.2,60.2,37.79,4.5,0.25,4,4,0.16666666666666666,0.25,0.16666666666666666,0.4166666666666667,0.0,0.3333333333333333,1112.7272727272727,10,5,6.418181818181818,0.3333333333333333,2.0,0.0,0.6095,13.0,2.0,2.0,0.0,1.0,2.0,36.5,0.0,10.65,0.0,0.0,3.0,4.0,1.0,3.3333333333333335,0.7026666666666667,19.987499999999997,1.7759461538461538
user_00008,0.0,Male,Canada,New Brunswick,Basic,1,6.69,Tablet,1.0,11,11,409.9,45.544444444444444,38.79090909090909,3.3333333333333335,0.09090909090909091,4,3,0.18181818181818182,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.0,0.18181818181818182,1586.4,9,4,6.090909090909091,0.36363636363636365,3.0,0.0,0.741,10.666666666666666,2.0,2.0,0.0,1.0,2.0,28.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.697727272727272,1.7787575757575758
user_00009,24.0,Male,USA,North Carolina,Premium,1,12.21,Gaming Console,5.0,7,7,388.0,64.66666666666667,47.25,5.0,0.0,5,4,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.14285714285714285,2444.0,6,4,6.12,0.2857142857142857,5.0,0.0,0.4396,12.2,4.0,3.0,0.0,1.0,2.0,55.5,3.0,39.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,11.8125,1.7775
user_00010,24.0,Male,USA,Pennsylvania,Basic,1,23.18,Laptop,1.0,8,9,589.9,65.54444444444444,59.78888888888889,2.0,0.2222222222222222,5,2,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.0,0.4444444444444444,1857.0,8,3,5.885714285714286,0.3,5.0,0.0,0.6950000000000001,12.2,3.0,3.0,0.0,1.0,3.0,39.0,0.0,15.699999999999998,0.3333333333333333,0.0,2.0,2.5,0.5,3.5,0.5015000000000001,22.469722222222224,1.7021111111111111
